Time,Latitude,Longitude,SOG (NM/s),COG,Track Number,Confirmed
16:1:48.9453125,37.8961648,-8.8008746,0.0000000,223.2312012,1,0
16:1:48.9453125,37.9469348,-8.8834309,0.0000610,343.9379883,4,0
16:1:48.9453125,37.8758819,-8.9654437,0.0000610,203.8183594,23,0
16:1:48.9453125,37.9082656,-8.8154403,0.0012817,166.8273926,5,0
16:1:48.9453125,37.9075509,-8.8782191,0.0000000,46.7028809,6,0
16:1:48.9453125,37.9232729,-8.8650146,0.0020752,310.1989746,9,0
16:1:48.9453125,37.9057208,-8.8679883,0.0000610,125.2221680,10,0
16:1:48.9453125,37.9532872,-8.9417726,0.0001831,138.5430908,11,0
16:1:48.9453125,37.9525228,-8.8700571,0.0000000,106.2377930,18,0
16:1:48.9453125,37.8907252,-8.8705644,0.0001221,118.5919189,12,0
16:1:48.9453125,37.7667903,-8.8080256,0.0000610,169.6673584,139,0
16:1:48.9453125,37.9153750,-8.8664651,0.0000000,266.6711426,14,0
16:1:48.9453125,37.9010634,-8.8012821,0.0000000,35.7989502,99,0
16:1:48.9453125,37.8796189,-8.7988386,0.0000000,66.1376953,16,0
16:1:48.9453125,37.9396952,-8.8885958,0.0000610,21.5606689,17,0
16:1:49.9453125,37.8961648,-8.8008746,0.0000000,223.2312012,1,0
16:1:49.9453125,37.9469348,-8.8834309,0.0000610,343.9379883,4,0
16:1:49.9453125,37.8758819,-8.9654437,0.0000610,203.8183594,23,0
16:1:49.9453125,37.9082656,-8.8154403,0.0012817,166.8273926,5,0
16:1:49.9453125,37.9075509,-8.8782191,0.0000000,46.7028809,6,0
16:1:49.9453125,37.9232729,-8.8650146,0.0020752,310.1989746,9,0
16:1:49.9453125,37.9057208,-8.8679883,0.0000610,125.2221680,10,0
16:1:49.9453125,37.9532872,-8.9417726,0.0001831,138.5430908,11,0
16:1:49.9453125,37.9525228,-8.8700571,0.0000000,106.2377930,18,0
16:1:49.9453125,37.8907252,-8.8705644,0.0001221,118.5919189,12,0
16:1:49.9453125,37.7667903,-8.8080256,0.0000610,169.6673584,139,0
16:1:49.9453125,37.9153750,-8.8664651,0.0000000,266.6711426,14,0
16:1:49.9453125,37.9010634,-8.8012821,0.0000000,35.7989502,99,0
16:1:49.9453125,37.8796189,-8.7988386,0.0000000,66.1376953,16,0
16:1:49.9453125,37.9396952,-8.8885958,0.0000610,21.5606689,17,0
16:1:50.9453125,37.8961498,-8.8008786,0.0000000,222.9400635,1,0
16:1:50.9453125,37.9469383,-8.8833774,0.0000610,354.3804932,4,0
16:1:50.9453125,37.8758346,-8.9652748,0.0001221,144.1076660,23,0
16:1:50.9453125,37.9081174,-8.8153932,0.0012817,167.1020508,5,0
16:1:50.9453125,37.9076824,-8.8779719,0.0001831,46.5051270,6,0
16:1:50.9453125,37.9234990,-8.8652702,0.0021362,310.9899902,9,0
16:1:50.9453125,37.9057500,-8.8680596,0.0000000,124.6948242,10,0
16:1:50.9453125,37.9532373,-8.9416939,0.0002441,138.4771729,11,0
16:1:50.9453125,37.9525449,-8.8700693,0.0000000,106.4355469,18,0
16:1:50.9453125,37.8907898,-8.8706837,0.0001221,117.9711914,12,0
16:1:50.9453125,37.8978821,-8.8012873,0.0000000,25.7464600,94,0
16:1:50.9453125,37.7667906,-8.8080256,0.0000610,169.6673584,139,0
16:1:50.9453125,37.9153507,-8.8664174,0.0000000,266.3964844,14,0
16:1:50.9453125,37.8796139,-8.7988474,0.0000000,66.3189697,16,0
16:1:50.9453125,37.9397113,-8.8886196,0.0000610,20.5059814,17,0
16:1:51.9453125,37.8961498,-8.8008786,0.0000000,222.9400635,1,0
16:1:51.9453125,37.9469383,-8.8833774,0.0000610,354.3804932,4,0
16:1:51.9453125,37.8758346,-8.9652748,0.0001221,144.1076660,23,0
16:1:51.9453125,37.9081174,-8.8153932,0.0012817,167.1020508,5,0
16:1:51.9453125,37.9076824,-8.8779719,0.0001831,46.5051270,6,0
16:1:51.9453125,37.9234990,-8.8652702,0.0021362,310.9899902,9,0
16:1:51.9453125,37.9057500,-8.8680596,0.0000000,124.6948242,10,0
16:1:51.9453125,37.9532373,-8.9416939,0.0002441,138.4771729,11,0
16:1:51.9453125,37.9525449,-8.8700693,0.0000000,106.4355469,18,0
16:1:51.9453125,37.8907898,-8.8706837,0.0001221,117.9711914,12,0
16:1:51.9453125,37.8978821,-8.8012873,0.0000000,25.7464600,94,0
16:1:51.9453125,37.7667906,-8.8080256,0.0000610,169.6673584,139,0
16:1:51.9453125,37.9153507,-8.8664174,0.0000000,266.3964844,14,0
16:1:51.9453125,37.8796139,-8.7988474,0.0000000,66.3189697,16,0
16:1:51.9453125,37.9397113,-8.8886196,0.0000610,20.5059814,17,0
16:1:52.9453125,37.8961498,-8.8008786,0.0000000,222.9400635,1,0
16:1:52.9453125,37.9469383,-8.8833774,0.0000610,354.3804932,4,0
16:1:52.9453125,37.8758346,-8.9652748,0.0001221,144.1076660,23,0
16:1:52.9453125,37.9081174,-8.8153932,0.0012817,167.1020508,5,0
16:1:52.9453125,37.9076824,-8.8779719,0.0001831,46.5051270,6,0
16:1:52.9453125,37.9234990,-8.8652702,0.0021362,310.9899902,9,0
16:1:52.9453125,37.9057500,-8.8680596,0.0000000,124.6948242,10,0
16:1:52.9453125,37.9532373,-8.9416939,0.0002441,138.4771729,11,0
16:1:52.9453125,37.9525449,-8.8700693,0.0000000,106.4355469,18,0
16:1:52.9453125,37.8907898,-8.8706837,0.0001221,117.9711914,12,0
16:1:52.9453125,37.8978821,-8.8012873,0.0000000,25.7464600,94,0
16:1:52.9453125,37.7667906,-8.8080256,0.0000610,169.6673584,139,0
16:1:52.9453125,37.9153507,-8.8664174,0.0000000,266.3964844,14,0
16:1:52.9453125,37.8796139,-8.7988474,0.0000000,66.3189697,16,0
16:1:52.9453125,37.9397113,-8.8886196,0.0000610,20.5059814,17,0
16:1:53.9453125,37.8961498,-8.8008786,0.0000000,222.9400635,1,0
16:1:53.9453125,37.9469383,-8.8833774,0.0000610,354.3804932,4,0
16:1:53.9453125,37.8758346,-8.9652748,0.0001221,144.1076660,23,0
16:1:53.9453125,37.9081174,-8.8153932,0.0012817,167.1020508,5,0
16:1:53.9453125,37.9076824,-8.8779719,0.0001831,46.5051270,6,0
16:1:53.9453125,37.9234990,-8.8652702,0.0021362,310.9899902,9,0
16:1:53.9453125,37.9057500,-8.8680596,0.0000000,124.6948242,10,0
16:1:53.9453125,37.9532373,-8.9416939,0.0002441,138.4771729,11,0
16:1:53.9453125,37.9525449,-8.8700693,0.0000000,106.4355469,18,0
16:1:53.9453125,37.8907898,-8.8706837,0.0001221,117.9711914,12,0
16:1:53.9453125,37.8978821,-8.8012873,0.0000000,25.7464600,94,0
16:1:53.9453125,37.7667906,-8.8080256,0.0000610,169.6673584,139,0
16:1:53.9453125,37.9153507,-8.8664174,0.0000000,266.3964844,14,0
16:1:53.9453125,37.8796139,-8.7988474,0.0000000,66.3189697,16,0
16:1:53.9453125,37.9397113,-8.8886196,0.0000610,20.5059814,17,0
16:1:54.9453125,37.8961498,-8.8008786,0.0000000,222.9400635,1,0
16:1:54.9453125,37.9469383,-8.8833774,0.0000610,354.3804932,4,0
16:1:54.9453125,37.8758346,-8.9652748,0.0001221,144.1076660,23,0
16:1:54.9453125,37.9081174,-8.8153932,0.0012817,167.1020508,5,0
16:1:54.9453125,37.9076824,-8.8779719,0.0001831,46.5051270,6,0
16:1:54.9453125,37.9234990,-8.8652702,0.0021362,310.9899902,9,0
16:1:54.9453125,37.9057500,-8.8680596,0.0000000,124.6948242,10,0
16:1:54.9453125,37.9532373,-8.9416939,0.0002441,138.4771729,11,0
16:1:54.9453125,37.9525449,-8.8700693,0.0000000,106.4355469,18,0
16:1:54.9453125,37.8907898,-8.8706837,0.0001221,117.9711914,12,0
16:1:54.9453125,37.8978821,-8.8012873,0.0000000,25.7464600,94,0
16:1:54.9453125,37.7667906,-8.8080256,0.0000610,169.6673584,139,0
16:1:54.9453125,37.9153507,-8.8664174,0.0000000,266.3964844,14,0
16:1:54.9453125,37.8796139,-8.7988474,0.0000000,66.3189697,16,0
16:1:54.9453125,37.9397113,-8.8886196,0.0000610,20.5059814,17,0
16:1:55.9453125,37.8961498,-8.8008786,0.0000000,222.9400635,1,0
16:1:55.9453125,37.9469383,-8.8833774,0.0000610,354.3804932,4,0
16:1:55.9453125,37.8758346,-8.9652748,0.0001221,144.1076660,23,0
16:1:55.9453125,37.9081174,-8.8153932,0.0012817,167.1020508,5,0
16:1:55.9453125,37.9076824,-8.8779719,0.0001831,46.5051270,6,0
16:1:55.9453125,37.9234990,-8.8652702,0.0021362,310.9899902,9,0
16:1:55.9453125,37.9057500,-8.8680596,0.0000000,124.6948242,10,0
16:1:55.9453125,37.9532373,-8.9416939,0.0002441,138.4771729,11,0
16:1:55.9453125,37.9525449,-8.8700693,0.0000000,106.4355469,18,0
16:1:55.9453125,37.8907898,-8.8706837,0.0001221,117.9711914,12,0
16:1:55.9453125,37.8978821,-8.8012873,0.0000000,25.7464600,94,0
16:1:55.9453125,37.7667906,-8.8080256,0.0000610,169.6673584,139,0
16:1:55.9453125,37.9153507,-8.8664174,0.0000000,266.3964844,14,0
16:1:55.9453125,37.8796139,-8.7988474,0.0000000,66.3189697,16,0
16:1:55.9453125,37.9397113,-8.8886196,0.0000610,20.5059814,17,0
16:1:56.9453125,37.8961498,-8.8008786,0.0000000,222.9400635,1,0
16:1:56.9453125,37.9469383,-8.8833774,0.0000610,354.3804932,4,0
16:1:56.9453125,37.8758346,-8.9652748,0.0001221,144.1076660,23,0
16:1:56.9453125,37.9081174,-8.8153932,0.0012817,167.1020508,5,0
16:1:56.9453125,37.9076824,-8.8779719,0.0001831,46.5051270,6,0
16:1:56.9453125,37.9234990,-8.8652702,0.0021362,310.9899902,9,0
16:1:56.9453125,37.9057500,-8.8680596,0.0000000,124.6948242,10,0
16:1:56.9453125,37.9532373,-8.9416939,0.0002441,138.4771729,11,0
16:1:56.9453125,37.9525449,-8.8700693,0.0000000,106.4355469,18,0
16:1:56.9453125,37.8907898,-8.8706837,0.0001221,117.9711914,12,0
16:1:56.9453125,37.8978821,-8.8012873,0.0000000,25.7464600,94,0
16:1:56.9453125,37.7667906,-8.8080256,0.0000610,169.6673584,139,0
16:1:56.9453125,37.9153507,-8.8664174,0.0000000,266.3964844,14,0
16:1:56.9453125,37.8796139,-8.7988474,0.0000000,66.3189697,16,0
16:1:56.9453125,37.9397113,-8.8886196,0.0000610,20.5059814,17,0
16:1:57.9453125,37.8961533,-8.8008570,0.0000000,221.5942383,1,0
16:1:57.9453125,37.9467179,-8.8834971,0.0000000,172.6776123,4,0
16:1:57.9453125,37.8758307,-8.9653273,0.0001221,145.1184082,23,0
16:1:57.9453125,37.9079557,-8.8153212,0.0012817,166.9757080,5,0
16:1:57.9453125,37.8356532,-8.8933681,0.0001831,106.2322998,140,0
16:1:57.9453125,37.9237032,-8.8655112,0.0021362,311.6271973,9,0
16:1:57.9453125,37.9057418,-8.8680224,0.0000000,124.6234131,10,0
16:1:57.9453125,37.9525465,-8.8700605,0.0000000,106.2377930,18,0
16:1:57.9453125,37.8907799,-8.8707024,0.0000610,117.5207520,12,0
16:1:57.9453125,37.8978825,-8.8012878,0.0000000,25.6860352,94,0
16:1:57.9453125,37.9153661,-8.8664491,0.0000000,267.1380615,14,0
16:1:57.9453125,37.9010567,-8.8012876,0.0000000,35.9362793,99,0
16:1:57.9453125,37.8796213,-8.7988226,0.0000000,66.4837646,16,0
16:1:57.9453125,37.9397459,-8.8886210,0.0001221,19.2370605,17,0
16:1:58.9453125,37.8961533,-8.8008570,0.0000000,221.5942383,1,0
16:1:58.9453125,37.9467179,-8.8834971,0.0000000,172.6776123,4,0
16:1:58.9453125,37.8758307,-8.9653273,0.0001221,145.1184082,23,0
16:1:58.9453125,37.9079557,-8.8153212,0.0012817,166.9757080,5,0
16:1:58.9453125,37.8356532,-8.8933681,0.0001831,106.2322998,140,0
16:1:58.9453125,37.9237032,-8.8655112,0.0021362,311.6271973,9,0
16:1:58.9453125,37.9057418,-8.8680224,0.0000000,124.6234131,10,0
16:1:58.9453125,37.9525465,-8.8700605,0.0000000,106.2377930,18,0
16:1:58.9453125,37.8907799,-8.8707024,0.0000610,117.5207520,12,0
16:1:58.9453125,37.8978825,-8.8012878,0.0000000,25.6860352,94,0
16:1:58.9453125,37.9153661,-8.8664491,0.0000000,267.1380615,14,0
16:1:58.9453125,37.9010567,-8.8012876,0.0000000,35.9362793,99,0
16:1:58.9453125,37.8796213,-8.7988226,0.0000000,66.4837646,16,0
16:1:58.9453125,37.9397459,-8.8886210,0.0001221,19.2370605,17,0
16:1:59.9453125,37.8961533,-8.8008570,0.0000000,221.5942383,1,0
16:1:59.9453125,37.9467179,-8.8834971,0.0000000,172.6776123,4,0
16:1:59.9453125,37.8758307,-8.9653273,0.0001221,145.1184082,23,0
16:1:59.9453125,37.9079557,-8.8153212,0.0012817,166.9757080,5,0
16:1:59.9453125,37.8356532,-8.8933681,0.0001831,106.2322998,140,0
16:1:59.9453125,37.9237032,-8.8655112,0.0021362,311.6271973,9,0
16:1:59.9453125,37.9057418,-8.8680224,0.0000000,124.6234131,10,0
16:1:59.9453125,37.9525465,-8.8700605,0.0000000,106.2377930,18,0
16:1:59.9453125,37.8907799,-8.8707024,0.0000610,117.5207520,12,0
16:1:59.9453125,37.8978825,-8.8012878,0.0000000,25.6860352,94,0
16:1:59.9453125,37.9153661,-8.8664491,0.0000000,267.1380615,14,0
16:1:59.9453125,37.9010567,-8.8012876,0.0000000,35.9362793,99,0
16:1:59.9453125,37.8796213,-8.7988226,0.0000000,66.4837646,16,0
16:1:59.9453125,37.9397459,-8.8886210,0.0001221,19.2370605,17,0
16:2:0.9453125,37.8961533,-8.8008570,0.0000000,221.5942383,1,0
16:2:0.9453125,37.9467179,-8.8834971,0.0000000,172.6776123,4,0
16:2:0.9453125,37.8758307,-8.9653273,0.0001221,145.1184082,23,0
16:2:0.9453125,37.9079557,-8.8153212,0.0012817,166.9757080,5,0
16:2:0.9453125,37.8356532,-8.8933681,0.0001831,106.2322998,140,0
16:2:0.9453125,37.9237032,-8.8655112,0.0021362,311.6271973,9,0
16:2:0.9453125,37.9057418,-8.8680224,0.0000000,124.6234131,10,0
16:2:0.9453125,37.9525465,-8.8700605,0.0000000,106.2377930,18,0
16:2:0.9453125,37.8907799,-8.8707024,0.0000610,117.5207520,12,0
16:2:0.9453125,37.8978825,-8.8012878,0.0000000,25.6860352,94,0
16:2:0.9453125,37.9153661,-8.8664491,0.0000000,267.1380615,14,0
16:2:0.9453125,37.9010567,-8.8012876,0.0000000,35.9362793,99,0
16:2:0.9453125,37.8796213,-8.7988226,0.0000000,66.4837646,16,0
16:2:0.9453125,37.9397459,-8.8886210,0.0001221,19.2370605,17,0
16:2:1.9453125,37.8961533,-8.8008570,0.0000000,221.5942383,1,0
16:2:1.9453125,37.9467179,-8.8834971,0.0000000,172.6776123,4,0
16:2:1.9453125,37.8758307,-8.9653273,0.0001221,145.1184082,23,0
16:2:1.9453125,37.9079557,-8.8153212,0.0012817,166.9757080,5,0
16:2:1.9453125,37.8356532,-8.8933681,0.0001831,106.2322998,140,0
16:2:1.9453125,37.9237032,-8.8655112,0.0021362,311.6271973,9,0
16:2:1.9453125,37.9057418,-8.8680224,0.0000000,124.6234131,10,0
16:2:1.9453125,37.9525465,-8.8700605,0.0000000,106.2377930,18,0
16:2:1.9453125,37.8907799,-8.8707024,0.0000610,117.5207520,12,0
16:2:1.9453125,37.8978825,-8.8012878,0.0000000,25.6860352,94,0
16:2:1.9453125,37.9153661,-8.8664491,0.0000000,267.1380615,14,0
16:2:1.9453125,37.9010567,-8.8012876,0.0000000,35.9362793,99,0
16:2:1.9453125,37.8796213,-8.7988226,0.0000000,66.4837646,16,0
16:2:1.9453125,37.9397459,-8.8886210,0.0001221,19.2370605,17,0
16:2:2.9453125,37.8961533,-8.8008570,0.0000000,221.5942383,1,0
16:2:2.9453125,37.9467179,-8.8834971,0.0000000,172.6776123,4,0
16:2:2.9453125,37.8758307,-8.9653273,0.0001221,145.1184082,23,0
16:2:2.9453125,37.9079557,-8.8153212,0.0012817,166.9757080,5,0
16:2:2.9453125,37.8356532,-8.8933681,0.0001831,106.2322998,140,0
16:2:2.9453125,37.9237032,-8.8655112,0.0021362,311.6271973,9,0
16:2:2.9453125,37.9057418,-8.8680224,0.0000000,124.6234131,10,0
16:2:2.9453125,37.9525465,-8.8700605,0.0000000,106.2377930,18,0
16:2:2.9453125,37.8907799,-8.8707024,0.0000610,117.5207520,12,0
16:2:2.9453125,37.8978825,-8.8012878,0.0000000,25.6860352,94,0
16:2:2.9453125,37.9153661,-8.8664491,0.0000000,267.1380615,14,0
16:2:2.9453125,37.9010567,-8.8012876,0.0000000,35.9362793,99,0
16:2:2.9453125,37.8796213,-8.7988226,0.0000000,66.4837646,16,0
16:2:2.9453125,37.9397459,-8.8886210,0.0001221,19.2370605,17,0
16:2:3.9453125,37.8961533,-8.8008570,0.0000000,221.5942383,1,0
16:2:3.9453125,37.9467179,-8.8834971,0.0000000,172.6776123,4,0
16:2:3.9453125,37.8758307,-8.9653273,0.0001221,145.1184082,23,0
16:2:3.9453125,37.9079557,-8.8153212,0.0012817,166.9757080,5,0
16:2:3.9453125,37.8356532,-8.8933681,0.0001831,106.2322998,140,0
16:2:3.9453125,37.9237032,-8.8655112,0.0021362,311.6271973,9,0
16:2:3.9453125,37.9057418,-8.8680224,0.0000000,124.6234131,10,0
16:2:3.9453125,37.9525465,-8.8700605,0.0000000,106.2377930,18,0
16:2:3.9453125,37.8907799,-8.8707024,0.0000610,117.5207520,12,0
16:2:3.9453125,37.8978825,-8.8012878,0.0000000,25.6860352,94,0
16:2:3.9453125,37.9153661,-8.8664491,0.0000000,267.1380615,14,0
16:2:3.9453125,37.9010567,-8.8012876,0.0000000,35.9362793,99,0
16:2:3.9453125,37.8796213,-8.7988226,0.0000000,66.4837646,16,0
16:2:3.9453125,37.9397459,-8.8886210,0.0001221,19.2370605,17,0
